ID,FechaEncuesta,PuntuacionAccesibilidad,PuntuacionCalidad,Comentarios,AreaRecreativaID
ES_29840,2024/04/23,1.0,1.0,Neutral,17262
ES_3107,2024-09-15,2.0,3.0,Satisfecho,17015
ES_80604,2023/10/14,2.0,4.0,Muy insatisfecho,18053
ES_69725,2023-10-13,1.0,4.0,Neutral,7943778
ES_80121,2023-12-30,2.0,1.0,Muy satisfecho,17000
ES_93973,2024-09-28,2.0,1.0,Muy insatisfecho,18299
ES_58204,2024-04-19,5.0,1.0,Muy insatisfecho,18050
ES_36874,2024/08/01,3.0,1.0,Neutral,17353
ES_63854,2024-07-13,1.0,5.0,Muy insatisfecho,18406
ES_46475,2023-10-13,,5.0,Neutral,4730819
ES_59139,2024-07-28,,,Muy insatisfecho,16869
ES_12301,2024-06-24,2.0,2.0,Neutral,16946
ES_56224,2023/11/07,2.0,,Muy insatisfecho,18213
ES_28632,2024/03/26,4.0,1.0,Satisfecho,17587
ES_25013,2024/08/14,1.0,3.0,Neutral,4749897
ES_86097,2023/12/20,2.0,,Neutral,17802
ES_25125,2024/05/02,3.0,,Satisfecho,18319
ES_94171,2024-07-17,4.0,1.0,Muy satisfecho,18370
ES_81971,2023-12-20,5.0,4.0,Muy satisfecho~,17472
ES_1667,2023-11-13,5.0,3.0,Muy insatisfecho,8218587
ES_7485,2024/06/28,2.0,,Muy satisfecho,17655
ES_90918,2024/03/13,1.0,,Insatisfecho,52199
ES_18891,2024/07/17,5.0,5.0,Muy insatisfecho,17562
ES_69265,2023/12/31,3.0,3.0,Insatisfecho,18446
ES_94047,2024-09-28,1.0,2.0,Muy insatisfecho,18372
ES_19003,2024-04-02,5.0,3.0,Satisfecho,17894
ES_18298,2024/05/20,1.0,2.0,Neutral,8799632
ES_94627,2023/10/16,1.0,5.0,Muy insatisfecho,16892
ES_13411,2024-01-09,2.0,4.0,Muy satisfecho,16992
ES_36841,2024-09-05,3.0,1.0,Muy insatisfecho,52142
ES_82478,2024-03-06,2.0,3.0,Neutral,6843085
ES_82624,2023/11/13,5.0,5.0,Muy satisfecho,18011
ES_76152,2024/06/06,2.0,2.0,Insatisfecho,17592
ES_47604,2024-04-13,5.0,2.0,Satisfecho,18517
ES_74575,2023/11/04,1.0,4.0,Muy satisfecho,17487
ES_42263,2024-04-11,4.0,1.0,Muy insatisfecho,17817
ES_66805,2024-07-26,4.0,2.0,Satisfecho,5246186
ES_65639,2024/04/19,4.0,,Insatisfecho~,18105
ES_35865,2024-02-29,3.0,5.0,Neutral,461194
ES_59405,2024/04/05,2.0,3.0,Muy insatisfecho,18403
ES_40533,2024/08/08,1.0,4.0,Insatisfecho,17215
ES_84910,2024/06/22,2.0,1.0,Insatisfecho,52091
ES_34777,2023-12-31,4.0,2.0,Neutral,9293991
ES_23676,2024-01-17,2.0,4.0,Muy insatisfecho_,5071591
ES_66396,2024/06/23,2.0,1.0,Satisfecho,6779455
ES_20829,2023/10/16,5.0,1.0,Neutral,17504
ES_45052,2024/01/28,5.0,5.0,Satisfecho,18311
ES_87710,2023-11-27,3.0,2.0,Insatisfecho,18514
ES_50958,2024/06/20,3.0,1.0,Muy satisfecho,5240297
ES_18636,2024/09/16,1.0,3.0,Muy satisfecho,17769
ES_64645,2024/06/13,3.0,5.0,Satisfecho,17329
ES_43960,2023/11/13,3.0,5.0,Muy insatisfecho,8799607
ES_74043,2024/03/04,1.0,5.0,Satisfecho,452347
ES_60804,2024-05-19,,2.0,Muy satisfecho,5272342
ES_60489,2023-10-21,1.0,3.0,Neutral,8799553
ES_35819,2024-07-08,5.0,,Neutral,18124
ES_32138,2023-11-24,2.0,2.0,Insatisfecho,17685
ES_12620,2024-02-14,5.0,3.0,Neutral,17620
ES_61594,2023-12-03,3.0,4.0,Satisfecho,18557
ES_68550,2024/01/17,2.0,3.0,Satisfecho,17955
ES_96807,2024/09/11,5.0,3.0,Satisfecho_,5246197
ES_77187,2023-10-30,3.0,2.0,Neutral,17553
ES_35501,2023/11/20,4.0,2.0,Satisfecho,52056
ES_67274,2024/07/05,1.0,3.0,Muy insatisfecho,17922
ES_21659,2024/10/04,4.0,5.0,Muy satisfecho,17921
ES_62019,2023/11/26,1.0,1.0,Neutral,3576089
ES_63214,2023/10/13,,1.0,Muy satisfecho,9261936
ES_93609,2024-05-17,5.0,,Neutral,7126494
ES_89528,2024/05/10,5.0,4.0,Muy insatisfecho,17387
ES_10655,2024/04/18,1.0,2.0,Muy satisfecho,4749893
ES_70594,2024-04-09,4.0,4.0,Muy satisfecho,17662
ES_2759,2024/04/07,3.0,2.0,Muy satisfecho,16678
ES_40007,2023-11-30,2.0,4.0,Muy insatisfecho,18249
ES_75219,2024/04/30,1.0,1.0,Insatisfecho,18354
ES_87983,2023/12/05,5.0,,Muy insatisfecho,17623
ES_64284,2024/02/20,3.0,2.0,Insatisfecho,18068
ES_17510,2024-05-28,,5.0,Neutral,7182466
ES_97487,2023/12/29,5.0,4.0,Insatisfecho,16894
ES_27203,2024-02-21,5.0,4.0,Insatisfecho,5213823
ES_69881,2024/03/03,4.0,3.0,Muy insatisfecho,5237139
ES_15839,2024-03-08,3.0,2.0,Neutral,16985
ES_39343,2024-10-04,1.0,1.0,Muy insatisfecho,18283
ES_1329,2024-06-18,1.0,5.0,Neutral~,17884
ES_1504,2023-12-20,5.0,2.0,Muy insatisfecho,7403983
ES_68368,2024/01/30,5.0,3.0,Insatisfecho,18265
ES_14569,2023-11-28,2.0,3.0,Muy insatisfecho,18158
ES_57449,2024/01/22,5.0,4.0,Neutral,17982
ES_1865,2023/12/08,1.0,1.0,Neutral,17065
ES_50042,2024-04-17,1.0,5.0,Insatisfecho,17163
ES_64672,2024-07-04,3.0,5.0,Satisfecho,52211
ES_41993,2024-05-04,2.0,1.0,Neutral,17965
ES_58795,2024/07/27,2.0,3.0,Muy insatisfecho,16820
ES_41138,2024-09-06,1.0,5.0,Satisfecho,18351
ES_89797,2024-06-17,1.0,4.0,Satisfecho,8775337
ES_17559,2024-08-15,3.0,,Insatisfecho_,16671
ES_35888,2024/04/05,5.0,4.0,Neutral,17102
ES_40798,2024-03-21,3.0,5.0,Muy insatisfecho,17700
ES_23507,2024-06-02,2.0,3.0,Satisfecho,17510
ES_75576,2024-06-09,5.0,3.0,Insatisfecho,52179
ES_48668,2024-04-20,4.0,1.0,Muy insatisfecho,6819615
ES_92196,2024-10-01,1.0,2.0,Muy satisfecho,17338
ES_94670,2024/01/27,1.0,4.0,Satisfecho,18638
ES_71107,2024/09/27,5.0,3.0,Muy insatisfecho,17288
ES_69159,2024/07/23,,5.0,Insatisfecho,18381
ES_15287,2024/01/24,1.0,3.0,Muy satisfecho,16698
ES_82173,2023/11/02,5.0,2.0,Muy insatisfecho,7126508
ES_7957,2024-02-12,3.0,1.0,Muy insatisfecho,18537
ES_45508,2024/08/18,2.0,,Insatisfecho,5240297
ES_38229,2024/06/30,4.0,,Insatisfecho,17432
ES_47848,2024/03/07,5.0,4.0,Muy satisfecho,18584
ES_98242,2024-04-19,4.0,5.0,Satisfecho,17436
ES_6615,2024-02-22,1.0,3.0,Neutral,52038
ES_76998,2023-11-10,,2.0,Muy insatisfecho,18559
ES_78101,2024-01-22,5.0,3.0,Muy satisfecho,5199521
ES_93054,2024-02-20,2.0,1.0,Insatisfecho,9049652
ES_24084,2023-10-25,5.0,2.0,Insatisfecho,17042
ES_66291,2024-02-08,1.0,2.0,Insatisfecho*,18592
ES_49422,2024-08-24,,2.0,Satisfecho,16830
ES_94220,2024-02-12,4.0,5.0,Insatisfecho,8914012
ES_94405,2023/10/14,3.0,2.0,Muy insatisfecho,52209
ES_73047,2024-03-19,3.0,3.0,Insatisfecho,17840
ES_30733,2023-10-29,2.0,5.0,Neutral,7125630
ES_26230,2023-11-12,3.0,4.0,Insatisfecho,17939
ES_60930,2024-03-08,,4.0,Insatisfecho,18082
ES_15265,2024/05/21,4.0,3.0,Insatisfecho,9271963
ES_15695,2024/08/06,5.0,4.0,Satisfecho,52127
ES_71945,2023-12-09,4.0,1.0,Neutral,17863
ES_70923,2023/10/24,2.0,5.0,Neutral,5199521
ES_65017,2024-03-04,4.0,1.0,Insatisfecho_,5654051
ES_95170,2023/11/21,5.0,3.0,Muy satisfecho_,18622
ES_99886,2024-09-14,1.0,3.0,Insatisfecho,18304
ES_16375,2024-04-06,4.0,2.0,Satisfecho,18468
ES_21684,2024-06-16,2.0,,Insatisfecho,18045
ES_64172,2024-01-30,2.0,2.0,Satisfecho,17342
ES_21873,2024-02-01,4.0,1.0,Muy satisfecho,18080
ES_10786,2024-01-21,5.0,2.0,Insatisfecho,7180264
ES_14144,2024/09/06,5.0,4.0,Satisfecho,18335
ES_66540,2024-10-09,2.0,,Neutral,16695
ES_51008,2024-01-16,1.0,5.0,Neutral,16885
ES_9296,2024-06-26,3.0,4.0,Satisfecho,4749894
ES_25652,2023-12-31,1.0,4.0,Muy insatisfecho~,3573057
ES_37763,2024/05/18,4.0,4.0,Satisfecho,4730856
ES_90370,2023/10/17,2.0,4.0,Muy satisfecho,52185
ES_58024,2024/07/26,,1.0,Muy insatisfecho~,18620
ES_98227,2024/08/31,,1.0,Insatisfecho_,18626
ES_28250,2024-08-31,,5.0,Muy satisfecho,16876
ES_37222,2023-10-11,1.0,,Muy satisfecho,17784
ES_21315,2024-03-17,4.0,3.0,Muy insatisfecho,17789
ES_41781,2024-07-13,4.0,3.0,Insatisfecho,17004
ES_39151,2024/04/07,5.0,3.0,Insatisfecho,18388
ES_93096,2024/09/08,2.0,3.0,Muy satisfecho~,52162
ES_67126,2023/10/12,2.0,3.0,Insatisfecho,16924
ES_74404,2024-06-13,5.0,1.0,Insatisfecho,18190
ES_56737,2023-12-16,4.0,4.0,Muy insatisfecho,17757
ES_57846,2023-12-18,2.0,1.0,Muy insatisfecho,18224
ES_70576,2024/01/16,3.0,2.0,Muy satisfecho,52060
ES_74335,2024-09-07,1.0,1.0,Neutral,5240281
ES_69061,2024/04/30,5.0,3.0,Satisfecho,18273
ES_15258,2024/04/09,5.0,,Satisfecho,17190
ES_85826,2024-03-20,,2.0,Neutral,18315
ES_55960,2024-05-26,5.0,1.0,Neutral,17208
ES_87888,2024-04-18,1.0,1.0,Muy insatisfecho,16964
ES_12994,2024-06-23,1.0,1.0,Muy satisfecho_,17539
ES_54454,2024-04-24,5.0,4.0,Muy satisfecho,17282
ES_24475,2024-08-26,4.0,4.0,Muy satisfecho,17369
ES_72621,2024/08/21,3.0,1.0,Neutral,16945
ES_14299,2024/05/22,3.0,2.0,Muy satisfecho,18487
ES_68979,2024-02-24,,2.0,Insatisfecho,17893
ES_94501,2023-11-15,5.0,2.0,Satisfecho,17007
ES_23955,2024-08-20,3.0,5.0,Satisfecho,18132
ES_8401,2024-06-06,5.0,3.0,Muy insatisfecho,18152
ES_98564,2024-09-09,2.0,1.0,Neutral,17549
ES_55149,2023/10/13,,,Muy satisfecho,17245
ES_44582,2024-01-18,1.0,1.0,Muy insatisfecho,17459
ES_9423,2024-01-26,1.0,5.0,Satisfecho,4737835
ES_42987,2024-01-26,3.0,5.0,Muy insatisfecho,18383
ES_38793,2024-02-05,1.0,2.0,Satisfecho,16958
