ID,FechaReporte,TipoIncidente,Gravedad,AreaRecreativaID
IS_58595,2024-05-10,Comportamiento inadecuado,Alta,18468
IS_67733,2023-12-02,Vandalismo,Media,18283
IS_63445,2024-03-21,Robo,Alta_,18542
IS_97161,2024-01-29,Robo,Baja,5653914
IS_88045,2024-06-15,Robo,Media,18188
IS_50837,2024/05/08,Vandalismo,Baja,9187536
IS_14632,2024/07/01,Vandalismo,Alta,17271
IS_54142,2024-08-07,Daño estructural,Baja,18314
IS_85730,2024-05-16,Comportamiento inadecuado,Baja,18388
IS_9798,2023/10/24,,Alta,7537965
IS_42774,2024-01-07,Robo,Media*,4749886
IS_87188,2024-01-31,Comportamiento inadecuado,Baja,52111
IS_7255,2024/03/10,,Media*,17327
IS_23917,2023/12/24,Vandalismo,Media,17388
IS_99570,2024-07-23,Comportamiento inadecuado,Baja,18472
IS_13470,2024/04/16,Robo,Baja,16907
IS_54598,2024/09/22,Vandalismo,Alta,18357
IS_50290,2024/03/13,,Alta,17773
IS_3030,2024/08/15,Daño estructural,Baja,8914015
IS_60715,2024-07-05,Robo,Alta,17648
IS_34824,2024/05/02,,Alta~,7168609
IS_49762,2023/10/16,Daño estructural,Alta,18468
IS_38198,2024/03/28,Robo,Alta,17614
IS_3030,2024/10/08,Daño estructural,Alta,18128
IS_80323,2024/03/23,Robo,Baja,18087
IS_95749,2024/03/30,Robo,Media*,17196
IS_61451,2024-07-20,Comportamiento inadecuado,Alta,18140
IS_60482,2023/10/23,Daño estructural,Alta,16778
IS_9340,2024/06/18,Daño estructural,Media,6819612
IS_5093,2024-09-28,Robo,Media,16755
IS_21316,2024/04/14,,Baja,5799343
IS_47768,2024/07/19,Comportamiento inadecuado,Media,18563
IS_93566,2024-01-25,Robo,Baja~,5237116
IS_28119,2024/07/21,Daño estructural,Baja_,18041
IS_88655,2023/10/13,Vandalismo,Alta,16902
IS_89504,2024-03-26,Vandalismo,Alta,17462
IS_1043,2024/04/21,Vandalismo,Baja,7862341
IS_22454,2024/07/23,Daño estructural,Media,52208
IS_2726,2024-07-05,Comportamiento inadecuado,Alta,18346
IS_97068,2024/08/13,Robo,Media,17445
IS_2664,2024/05/18,Comportamiento inadecuado,Media,17833
IS_45822,2024/07/04,,Media,18315
IS_25885,2024/01/05,Comportamiento inadecuado,Baja,18581
IS_8377,2024-02-05,Comportamiento inadecuado,Baja,18076
IS_20739,2024-01-15,Vandalismo,Media,17795
IS_41544,2024-09-19,Robo,Alta,17748
IS_2752,2024-07-13,Vandalismo,Baja,4749893
IS_79531,2024-08-08,Vandalismo,Media,5246193
IS_77711,2023/10/16,Robo,Alta,17849
IS_13885,2023/12/15,Robo,Media,18216
IS_9551,2023/10/19,Robo,Media,17337
IS_93450,2024/06/02,Comportamiento inadecuado,Alta,5241175
IS_38884,2024-02-20,Daño estructural,Media,17792
IS_1193,2024/08/15,Comportamiento inadecuado,Baja,17581
IS_78949,2024-08-15,,Baja,17459
IS_80155,2023-10-10,Daño estructural,Baja,5240327
IS_77955,2024-06-09,Robo,Media,18637
IS_65321,2024-06-05,,Baja,17462
IS_70510,2024-06-29,Daño estructural,Alta,461265
IS_27892,2023/11/23,Daño estructural,Media,17180
IS_61283,2024-08-02,Robo,Media,3573917
IS_46186,2024-04-07,Robo,Media,5240282
IS_20204,2024/02/15,Comportamiento inadecuado,Baja,6819627
IS_90815,2024/08/19,Robo,Alta,52164
IS_8877,2023/11/06,Comportamiento inadecuado,Media,9438309
IS_56768,2024-03-19,Daño estructural,Baja,17017
IS_23014,2024/03/28,,Alta,18172
IS_3508,2024/02/23,Comportamiento inadecuado,Media,16712
IS_83757,2024-02-16,Comportamiento inadecuado,Media,16690
IS_60598,2024-03-25,Robo,Baja,7933003
IS_63422,2024/07/16,Robo,Baja,18329
IS_43421,2024-04-06,Comportamiento inadecuado,Media,18421
IS_19247,2024-07-25,Vandalismo,Baja,18264
IS_46725,2023-11-30,Robo,Baja,17912
IS_89655,2024-09-22,Comportamiento inadecuado,Alta,7125619
IS_89241,2023/12/02,Robo,Media,18451
IS_55479,2024-06-29,Comportamiento inadecuado,Alta,17252
IS_88157,2024-09-30,Robo,Media,18292
IS_5746,2024/09/05,,Media,7861595
IS_3384,2024/07/27,Daño estructural,Alta,6819619
IS_1795,2024-08-02,Comportamiento inadecuado,Alta,18112
IS_48226,2024/07/02,Comportamiento inadecuado,Media,3566373
IS_79372,2023/11/03,Daño estructural,Media,18287
IS_27117,2024/10/04,Vandalismo,Alta_,17138
IS_78142,2024/05/04,Vandalismo,Baja,18490
IS_44022,2024/01/04,Daño estructural,Baja,17097
IS_54646,2023-11-23,Vandalismo,Baja,5653727
IS_79841,2023-12-02,Robo,Baja,17186
IS_85433,2024/05/16,Daño estructural,Baja,8927341
IS_35442,2024-08-11,Vandalismo,Media,17734
IS_24086,2023-10-26,Comportamiento inadecuado,Media,17112
IS_31350,2024-03-04,Robo,Alta,18219
IS_46692,2024/07/29,Robo,Alta,5237119
IS_44850,2024-06-28,Vandalismo,Alta,17367
IS_44474,2024/05/26,Robo,Alta,16972
IS_15444,2024-08-04,Daño estructural,Baja,17167
IS_13787,2024-08-11,Daño estructural,Alta,52219
IS_25919,2023-11-30,Comportamiento inadecuado,Alta,18441
IS_16631,2024-06-28,Robo,Alta~,17784
IS_5726,2023/12/12,Daño estructural,Media,18011
IS_65465,2024-07-17,Daño estructural,Baja*,7928019
IS_70632,2023/11/15,Comportamiento inadecuado,Alta,16708
IS_33412,2024/09/11,Comportamiento inadecuado,Baja,16820
IS_54929,2024/05/11,Comportamiento inadecuado,Baja,17784
IS_17088,2024/02/18,,Baja*,17462
IS_31734,2024/07/09,Daño estructural,Alta,18395
IS_83045,2024/05/22,Robo,Baja,18298
IS_79256,2024/07/20,Daño estructural,Baja,17718
IS_7471,2023-10-19,Robo,Baja,18565
IS_63378,2024/07/25,Comportamiento inadecuado,Alta,5218552
IS_34932,2024/09/26,Comportamiento inadecuado,Media,17491
IS_44660,2023/12/31,Comportamiento inadecuado,Alta,5075483
IS_21017,2023-11-16,Vandalismo,Baja,8914013
IS_49519,2024-03-24,Robo,Media,18211
IS_76180,2023-11-07,Vandalismo,Alta_,17549
IS_82892,2023-11-25,Comportamiento inadecuado,Alta,18271
IS_83392,2024-09-12,Daño estructural,Baja_,18162
IS_88181,2024/04/03,Daño estructural,Baja,17255
IS_30183,2023-10-11,Vandalismo,Media,17856
IS_25533,2024-03-12,Daño estructural,Baja,17999
IS_18215,2023/12/07,Daño estructural,Baja,7239555
IS_49492,2024-08-28,Vandalismo,Baja,17210
IS_33667,2024-08-16,Robo,Baja,16940
IS_48987,2023/11/14,Robo,Baja,18103
IS_27002,2023-11-01,Robo,Alta,5219930
IS_96733,2024-10-06,Robo,Baja,7165658
IS_92520,2023/12/27,Daño estructural,Alta,52156
IS_77253,2023-11-10,Daño estructural,Alta,17822
IS_82780,2024-03-29,Vandalismo,Baja,7862164
IS_36997,2024/02/10,Vandalismo,Media_,3573048
IS_44514,2023/11/30,Robo,Alta,5201907
IS_76265,2023/12/01,Daño estructural,Baja,17765
IS_90232,2024-04-12,,Alta,52154
IS_97460,2024-07-16,Daño estructural,Media,18570
IS_10919,2024/07/19,Vandalismo,Alta,17993
IS_27259,2024/10/08,Comportamiento inadecuado,Alta,17072
IS_72316,2023/12/20,Vandalismo,Media,4737820
IS_40855,2024-04-08,Comportamiento inadecuado,Media,18011
IS_80071,2024/04/09,Comportamiento inadecuado,Baja,5231441
IS_25053,2024/09/28,Vandalismo,Baja,5654012
IS_22885,2023-12-28,Daño estructural,Alta,17757
IS_87432,2024-02-23,Daño estructural,Alta,17016
IS_4185,2024/09/24,Daño estructural,Alta,17965
IS_17602,2024/08/27,Comportamiento inadecuado,Alta,16724
IS_7046,2023-11-25,Comportamiento inadecuado,Alta,16745
IS_55615,2024-04-02,Daño estructural,Alta,17000
IS_88827,2024-02-16,Robo,Media,17733
IS_88107,2024/02/05,Daño estructural,Baja,3531286
IS_23998,2024/08/18,,Baja,52211
IS_14295,2024-07-24,Daño estructural,Alta,18493
IS_12220,2024-05-09,,Baja,5195568
IS_97566,2024/09/19,Vandalismo,Baja,18394
IS_53379,2024-02-28,Robo,Alta,17202
IS_49094,2024-03-07,Comportamiento inadecuado,Media,17157
IS_32682,2024/07/31,Comportamiento inadecuado,Alta,17684
IS_4370,2024/01/03,Vandalismo,Baja,17435
IS_23317,2024-05-20,Robo,Media,17586
IS_80397,2023/12/21,Vandalismo,Alta,18114
IS_6626,2023/11/01,Vandalismo,Baja,18267
IS_52031,2024-01-21,Comportamiento inadecuado,Alta,17420
IS_90550,2023-12-03,Vandalismo,Media,5237129
IS_47432,2024/08/05,Robo,Alta,17658
IS_92545,2024-06-06,Daño estructural,Alta,18133
IS_7312,2024/06/17,Robo,Media,5237134
IS_364785,2024-02-07,Vandalismo,Alta,52213
IS_893608,2024-02-11,Comportamiento inadecuado,Baja,3568167
IS_771024,2023/01/21,Daño estructural,Media,16899
IS_738536,2024/08/29,Comportamiento inadecuado,Baja,17547
IS_24402,2023-10-31,Daño estructural,Baja,52183
IS_118431,2023/04/20,Daño estructural,Baja,18585
IS_64369,2023/10/26,Daño estructural,Alta,18328
IS_246730,2022/11/28,Daño estructural,Alta,17490
IS_888677,2022-10-10,Daño estructural,Media,17783
IS_324493,2022/11/11,Vandalismo,Alta,17440
IS_603716,2022/10/10,Daño estructural,Media,17273
IS_697576,2023-12-16,Daño estructural,Baja,5237128
IS_124499,2024-07-16,Vandalismo,Alta,18102
IS_168070,2024/06/01,Vandalismo,Media,18451
IS_746907,2023/04/04,,Baja,52136
IS_640269,2023/04/11,Vandalismo,Media,16774
IS_565982,2024/03/17,Daño estructural,Media,17354
IS_966878,2024/05/11,Comportamiento inadecuado,Baja,4737844
IS_452199,2024-01-03,Robo,Baja,17537
