ID,FechaIntervencion,TipoIntervencion,EstadoPrevio,EstadoPosterior,JuegoID,IncidenciaID
MA_576833,2024-03-22,Correctivo,Necesita reparación,Reparado,8888426,
MA_869884,,Correctivo,Necesita reparación,Reparado,3567547,
MA_680096,,Preventivo,Necesita reparación,,9050886,
MA_424402,2024-02-07,Correctivo,Necesita reparación,Reparado,9291561,
MA_687762,2023-12-11,Correctivo,Necesita reparación,Reparado,5075534,
MA_609217,2023-12-22,Preventivo,Necesita reparación,Reparado,5658726,
MA_959524,2024-06-17,Preventivo,,Reparado,9184893,
MA_297147,2024-09-30,Correctivo,Necesita reparación,Reparado,58937,
MA_920278,2024-03-21,Correctivo,Necesita reparación,Reparado,7943806,
MA_420620,2024-07-11,Correctivo,Necesita reparación,Reparado,21462,
MA_50259,04/25/2024,Preventivo,Necesita reparación,Reparado,34897,
MA_447105,2024-01-11,Preventivo,Necesita reparación,Reparado,7896546,
MA_36496,2024-02-14,Preventivo,Necesita reparación,Reparado,21259,
MA_215653,,Correctivo,Necesita reparación,Reparado,7896567,
MA_846321,2023-11-12,Preventivo,Necesita reparación,Reparado,8805208,
MA_575146,2024-04-27,Corretivo,Necesita reparación,Reparado,34101,
MA_5634,2023-12-20,Correctivo,Necesita reparación,Reparado,33427,
MA_600695,23-08-2024,Correctivo,Necesita reparación,Reparado,35145,
MA_636185,2024-07-08,Preventivo,Necesita reparación,Reparado,53084,
MA_606977,2024-06-14,Correctivo,Necesita reparación,Reparado,9178858,
MA_174698,2023-12-08,Correctivo,Necesita reparación,Reparado,58273,
MA_952867,2024-10-01,Preventivo,Necesita reparación,Reparado,9181887,
MA_463338,,Preventivo,Necesita reparación,Reparado,33251,
MA_985155,2024-04-05,Prevetivo,Necesita reparación,Reparado,33187,
MA_380555,2024-02-15,Preventivo,Necesita reparación,Reparado,59887,
MA_303972,2024-06-28,Preventivo,Necesita reparación,,3569581,
MA_476489,2024-06-03,Correctivo,Necesita reparación,Reparado,6878895,
MA_721557,2024-05-14,Correctivo,Necesita reparación,Reparado,8888468,
MA_828952,2024-03-27,Correctivo,Necesita reparación,Reparado,20323,
MA_327566,2024-06-29,Preventivo,,Reparado,33772,
MA_574410,2024-07-03,Preventivo,Necesita reparación,Reparado,58390,
MA_864961,2023-11-23,Preventivo,Necesita reparación,Reparado,7928012,
MA_271611,2024-09-07,Preventivo,Necesita reparación,Reparado,52838,
MA_404982,,Corretivo,Necesita reparación,Reparado,5250248,
MA_6637,2024-09-06,Correctivo,Necesita reparación,Reparado,6842652,
MA_119030,2023-10-18,Preventivo,Necesita reparación,Reparado,9248084,
MA_343752,2023-12-15,Preventivo,Necesita reparación,Reparado,21293,
MA_486761,14-09-2024,Preventivo,,Reparado,25655,
MA_149897,2024.04.27,Correctivo,Necesita reparación,Reparado,5252821,
MA_122928,,Preventivo,Necesita reparación,Reparado,3566744,
MA_131959,09/09/2024,Preventivo,Necesita reparación,Reparado,33288,
MA_160925,,Prevetivo,Necesita reparación,Reparado,4749936,
MA_374443,2024-09-23,Prevetivo,Necesita reparación,Reparado,8803006,
MA_61060,2023-10-27,Correctivo,Necesita reparación,Reparado,4738613,
MA_480999,2024-06-04,Correctivo,Necesita reparación,Reparado,21031,
MA_670846,02/17/2024,Preventivo,Necesita reparación,Reparado,20682,
MA_492344,2024-05-30,Correctivo,,Reparado,4730919,
MA_710940,2024-08-20,Preventivo,Necesita reparación,Reparado,20412,
MA_480311,2024-05-24,Preventivo,Necesita reparación,Reparado,35191,
MA_384855,06-07-2024,Correctivo,Necesita reparación,Reparado,9291579,
MA_363225,2024-05-15,Preventivo,Necesita reparación,Reparado,8976383,
MA_430554,2023-11-09,Prevetivo,Necesita reparación,Reparado,20228,
MA_315097,,Correctivo,Necesita reparación,Reparado,34091,
MA_943738,2024-09-23,Preventivo,,Reparado,5239101,
MA_26266,2024-07-21,Corretivo,Necesita reparación,Reparado,9289734,
MA_352833,2024-09-11,Preventivo,Necesita reparación,Reparado,3567988,
MA_508808,2024.05.17,Prevetivo,,Reparado,52935,
MA_871476,22-05-2024,Preventivo,Necesita reparación,Reparado,19473,
MA_600529,2024-05-23,Preventivo,Necesita reparación,Reparado,24719,
MA_586011,2024-06-04,Corretivo,Necesita reparación,Reparado,5659242,
MA_124785,01/04/2024,Preventivo,Necesita reparación,Reparado,58671,
MA_220444,2024-06-23,Corretivo,Necesita reparación,Reparado,35113,
MA_946661,,Correctivo,Necesita reparación,Reparado,3581468,
MA_431511,2023-11-04,Preventivo,Necesita reparación,Reparado,8820187,
MA_198048,2024-09-02,Correctivo,Necesita reparación,Reparado,58366,
MA_102406,2024-07-16,Correctivo,Necesita reparación,Reparado,5220922,
MA_277004,2024-02-05,Correctivo,Necesita reparación,,7838854,
MA_529953,2023-10-17,Correctivo,,Reparado,22051,
MA_784467,2024-01-21,Preventivo,Necesita reparación,Reparado,7833625,
MA_742619,2024-05-28,Preventivo,,Reparado,7896568,
MA_530207,2024.06.08,Correctivo,Necesita reparación,Reparado,19537,
MA_319513,2024-08-03,Preventivo,Necesita reparación,Reparado,7886360,
MA_671993,2023-12-04,Correctivo,Necesita reparación,Reparado,21587,
MA_315185,2023-11-12,Preventivo,Necesita reparación,,7538143,
MA_811949,2024-02-21,Correctivo,Necesita reparación,Reparado,24924,
MA_444643,,Correctivo,Necesita reparación,Reparado,22218,
MA_717742,,Correctivo,Necesita reparación,Reparado,3573867,
MA_810424,2024-07-30,Preventivo,Necesita reparación,Reparado,53104,
MA_438085,11-08-2024,Preventivo,,Reparado,5270455,
MA_877398,2024-08-13,Correctivo,Necesita reparación,Reparado,35193,
MA_260106,2024-02-29,Preventivo,Necesita reparación,Reparado,21010,
MA_421476,2024-07-21,Correctivo,Necesita reparación,Reparado,8974561,
MA_250542,2023-12-07,Preventivo,Necesita reparación,Reparado,20223,
MA_716862,2024-02-10,Preventivo,Necesita reparación,Reparado,21007,
MA_967937,2024-01-07,Correctivo,Necesita reparación,Reparado,4741986,
MA_52751,2024-08-07,Correctivo,Necesita reparación,Reparado,7602208,
MA_360113,28-05-2024,Correctivo,Necesita reparación,,8803397,
MA_741106,2024-10-06,Correctivo,Necesita reparación,Reparado,19937,
MA_272644,,Correctivo,Necesita reparación,Reparado,21918,
MA_369700,2023.12.31,Corretivo,,Reparado,9408034,
MA_567613,2024-04-25,Preventivo,Necesita reparación,Reparado,24776,
MA_213607,2024-07-25,Corretivo,Necesita reparación,Reparado,59681,
MA_844312,,Correctivo,Necesita reparación,Reparado,7861603,
MA_349837,2024-02-02,Preventivo,Necesita reparación,Reparado,9180970,
MA_794437,2024-03-30,Preventivo,Necesita reparación,Reparado,19346,
MA_555858,31-01-2024,Correctivo,Necesita reparación,Reparado,58039,
MA_253475,2024.08.28,Correctivo,,Reparado,60043,
MA_874286,2024-05-04,Correctivo,Necesita reparación,Reparado,9248080,
MA_639362,,Correctivo,Necesita reparación,,3568503,
MA_71742,2024-10-02,Prevetivo,Necesita reparación,,8927330,
MA_194417,2023-10-19,Correctivo,,Reparado,20013,
MA_42691,2023.12.30,Preventivo,Necesita reparación,Reparado,9050875,
MA_816343,2024-03-24,Preventivo,Necesita reparación,Reparado,5239319,
MA_502746,2024-05-17,Preventivo,Necesita reparación,Reparado,4988135,
MA_534746,2024-04-11,Corretivo,Necesita reparación,Reparado,20008,
MA_432722,2024-03-03,Correctivo,Necesita reparación,Reparado,52795,
MA_460161,2024-03-11,Prevetivo,,Reparado,34826,
MA_933515,2024-09-21,Preventivo,Necesita reparación,Reparado,58313,
MA_205462,2024-08-19,Correctivo,Necesita reparación,Reparado,3581579,
MA_830599,2024.07.16,Correctivo,Necesita reparación,Reparado,7741698,
MA_891239,2024-04-05,Preventivo,Necesita reparación,Reparado,3567926,
MA_154574,2024-08-08,Correctivo,Necesita reparación,Reparado,4987794,
MA_940872,2024-01-19,Preventivo,Necesita reparación,Reparado,3576362,
MA_314972,,Preventivo,Necesita reparación,Reparado,5240910,
MA_799630,2024-01-20,Preventivo,Necesita reparación,Reparado,6761379,
MA_591633,,Correctivo,Necesita reparación,,24707,
MA_522326,2024-02-02,Correctivo,,Reparado,21051,
MA_657369,2024-04-15,Prevetivo,Necesita reparación,Reparado,58948,
MA_615066,2023-10-12,Preventivo,Necesita reparación,Reparado,22439,
MA_231116,2024-03-23,Correctivo,Necesita reparación,Reparado,24712,
MA_412407,2023-11-01,Preventivo,Necesita reparación,Reparado,3559806,
MA_177369,2024-03-26,Preventivo,Necesita reparación,Reparado,9535065,
MA_927723,2024-04-20,Correctivo,Necesita reparación,Reparado,7928436,
MA_799991,2023-10-31,Preventivo,,Reparado,21922,
MA_266088,,Corretivo,Necesita reparación,Reparado,7603203,
MA_893331,09/20/2024,Prevetivo,Necesita reparación,Reparado,8928072,
MA_943806,2024.07.19,Correctivo,,Reparado,4987172,
MA_978718,2024-03-16,Correctivo,Necesita reparación,Reparado,4795670,
MA_713755,2023-10-14,Correctivo,,Reparado,20964,
MA_575200,2024-01-11,Preventivo,Necesita reparación,Reparado,32933,
MA_322838,2023-10-18,Corretivo,Necesita reparación,Reparado,5250248,
MA_713586,2024-08-24,Correctivo,Necesita reparación,,60009,
MA_226987,2024-05-31,Correctivo,Necesita reparación,Reparado,5239420,
MA_653317,2024-07-01,Preventivo,Necesita reparación,Reparado,22098,
MA_720906,2024-01-25,Preventivo,Necesita reparación,Reparado,7890628,
MA_966169,2024-09-09,Preventivo,Necesita reparación,Reparado,32889,
MA_742004,2024-03-26,Preventivo,Necesita reparación,Reparado,20530,
MA_997935,29-10-2023,Preventivo,Necesita reparación,Reparado,21481,
MA_930498,03/24/2024,Preventivo,,,9262480,
MA_931878,2023-11-12,Corretivo,Necesita reparación,Reparado,7925296,
MA_867265,2024-05-25,Correctivo,Necesita reparación,Reparado,9473775,
MA_346690,2024-04-07,Correctivo,Necesita reparación,Reparado,8888463,
MA_832991,2024-05-24,Correctivo,Necesita reparación,Reparado,7861605,
MA_915633,2024-08-17,Correctivo,Necesita reparación,Reparado,53047,
MA_37461,,Corretivo,Necesita reparación,Reparado,3576475,
MA_704521,2024-05-01,Preventivo,Necesita reparación,Reparado,20478,
MA_13142,2024-06-11,Correctivo,Necesita reparación,,5239359,
MA_134364,2024-01-27,Preventivo,Necesita reparación,Reparado,33832,
MA_965268,2024-05-19,Preventivo,Necesita reparación,Reparado,19505,
MA_379727,2024-04-23,Correctivo,Necesita reparación,Reparado,7928135,
MA_530477,2023-11-18,Preventivo,Necesita reparación,Reparado,9177695,
MA_242784,2024-04-11,Correctivo,Necesita reparación,Reparado,7903280,
MA_335727,2024-01-14,Preventivo,Necesita reparación,Reparado,9446472,
MA_698509,2024-07-30,Correctivo,Necesita reparación,Reparado,20050,
MA_302992,2024-04-08,Preventivo,Necesita reparación,Reparado,18676,
MA_402977,2023-12-19,Preventivo,Necesita reparación,Reparado,7943798,
MA_274125,2024-09-05,Preventivo,Necesita reparación,Reparado,21251,
MA_115105,,Preventivo,Necesita reparación,Reparado,24984,
MA_106431,2023-10-31,Correctivo,Necesita reparación,Reparado,34121,
MA_411241,2023-11-12,Correctivo,Necesita reparación,Reparado,21539,
MA_820591,2024-03-26,Correctivo,Necesita reparación,Reparado,5231454,
MA_523277,2024-05-20,Preventivo,Necesita reparación,Reparado,9394709,
MA_839179,2024-01-04,Correctivo,Necesita reparación,Reparado,59688,
MA_952895,2024-03-27,Correctivo,Necesita reparación,Reparado,9256439,
MA_888881,2024-05-01,Preventivo,Necesita reparación,Reparado,7822977,
MA_931187,2024-06-14,Preventivo,Necesita reparación,Reparado,5224768,
MA_528693,2024-04-17,Preventivo,Necesita reparación,Reparado,22262,
MA_559334,2023-11-15,Preventivo,Necesita reparación,Reparado,25023,
MA_2822,2023-10-26,Preventivo,Necesita reparación,Reparado,21347,
MA_841389,2024.04.12,Preventivo,Necesita reparación,Reparado,3530628,
MA_83541,,Correctivo,Necesita reparación,Reparado,9192712,
MA_252951,2023-12-04,Correctivo,Necesita reparación,Reparado,9051951,
MA_936556,2023-10-30,Preventivo,Necesita reparación,,7248197,
MA_592554,2023-11-18,Preventivo,Necesita reparación,,9186010,
MA_983043,,Preventivo,,Reparado,21901,
MA_11405,,Preventivo,,Reparado,5220744,
MA_17354,2024-04-16,Preventivo,Necesita reparación,Reparado,4987704,
MA_165301,03/24/2024,Prevetivo,Necesita reparación,Reparado,4730862,
MA_462814,2024-07-31,Correctivo,Necesita reparación,Reparado,20686,
MA_177760,2024-01-22,Correctivo,Necesita reparación,Reparado,8938175,
MA_555515,2024-04-18,Preventivo,Necesita reparación,Reparado,33990,
MA_859035,2024-05-31,Preventivo,Necesita reparación,Reparado,59847,
MA_957950,2024-09-11,Preventivo,Necesita reparación,Reparado,34773,
MA_393174,2023-11-02,Correctivo,Necesita reparación,Reparado,58019,
MA_277721,2024-08-29,Prevetivo,Necesita reparación,Reparado,8954865,
MA_549939,2023-10-25,Preventivo,Necesita reparación,Reparado,4784322,
MA_469165,2024.03.11,Preventivo,Necesita reparación,Reparado,25804,
MA_624806,2024-04-12,Correctivo,Necesita reparación,Reparado,9493140,
MA_230369,2024-06-27,Preventivo,Necesita reparación,Reparado,9187152,
MA_281961,2024-05-18,Preventivo,Necesita reparación,Reparado,19203,
MA_940157,2024-02-04,Preventivo,Necesita reparación,Reparado,59968,
MA_295010,2024-05-04,Correctivo,,,3531319,
MA_6483,2024.07.08,Correctivo,Necesita reparación,Reparado,9185685,
MA_963668,2024-01-20,Preventivo,Necesita reparación,Reparado,3581508,
MA_657447,2024.08.08,Corretivo,Necesita reparación,Reparado,20189,
MA_408619,2024-08-16,Preventivo,Necesita reparación,Reparado,33408,
MA_286883,2024-05-29,Correctivo,Necesita reparación,Reparado,9156136,
MA_128130,2024-08-11,Preventivo,Necesita reparación,Reparado,3573014,
MA_393260,2024-02-26,Correctivo,Necesita reparación,Reparado,57978,
MA_654222,,Prevetivo,Necesita reparación,Reparado,4796516,
MA_41725,2024-05-21,Preventivo,Necesita reparación,Reparado,59009,
MA_97841,,Preventivo,Necesita reparación,Reparado,21335,
MA_790586,2024-02-05,Correctivo,Necesita reparación,Reparado,3575543,
MA_899607,2024-05-17,Preventivo,Necesita reparación,,7794492,
MA_767643,2024-07-19,Preventivo,Necesita reparación,Reparado,4737888,
MA_890209,2023-12-28,Preventivo,Necesita reparación,Reparado,9494233,
MA_938783,2023-10-20,Preventivo,Necesita reparación,Reparado,9049858,
MA_454390,2024-06-16,Corretivo,,,24957,
MA_461807,2024-03-04,Correctivo,Necesita reparación,Reparado,20638,
MA_851610,2024-02-25,Preventivo,Necesita reparación,Reparado,53087,
MA_233692,2024-05-24,Preventivo,Necesita reparación,Reparado,22473,
MA_335352,2024-08-24,Correctivo,Necesita reparación,Reparado,5219504,
MA_987934,2023-12-17,Preventivo,Necesita reparación,Reparado,20284,
MA_905040,2024-03-19,Preventivo,Necesita reparación,Reparado,59904,
MA_736684,2024.06.27,Preventivo,Necesita reparación,,9187156,
MA_690216,2024-01-31,Preventivo,Necesita reparación,Reparado,33770,
MA_585938,2024-03-10,Preventivo,Necesita reparación,Reparado,8891779,
MA_382128,2024-03-21,Preventivo,Necesita reparación,Reparado,25591,
MA_155471,2024.07.22,Preventivo,Necesita reparación,Reparado,24871,
MA_475807,2023-12-03,Preventivo,Necesita reparación,Reparado,58214,
MA_189185,2024-04-14,Correctivo,Necesita reparación,Reparado,8978653,
MA_993034,2024-02-08,Preventivo,Necesita reparación,Reparado,7074727,
MA_500742,2024.08.16,Preventivo,Necesita reparación,,33878,
MA_309800,2024-02-15,Correctivo,Necesita reparación,Reparado,3759298,
MA_347291,2024-08-22,Preventivo,Necesita reparación,Reparado,21606,
MA_78998,2024.02.24,Correctivo,Necesita reparación,Reparado,59686,
MA_341124,2024-07-14,Preventivo,Necesita reparación,Reparado,3568607,
MA_357424,2024-04-17,Preventivo,Necesita reparación,Reparado,8888605,
MA_463204,2023-11-24,Preventivo,Necesita reparación,Reparado,9187159,
MA_881846,2023-12-28,Correctivo,Necesita reparación,Reparado,21784,
MA_311270,2024-03-17,Preventivo,Necesita reparación,,59827,
MA_191690,2024.01.31,Prevetivo,Necesita reparación,,5658243,
MA_629259,2024-05-15,Preventivo,Necesita reparación,Reparado,7741239,
MA_708396,,Preventivo,,Reparado,58762,
MA_265902,2024-03-19,Prevetivo,Necesita reparación,Reparado,8987376,
MA_568464,09/05/2024,Correctivo,Necesita reparación,Reparado,9426988,
MA_300814,2024-05-08,Correctivo,Necesita reparación,Reparado,34927,
MA_270171,2024-07-13,Correctivo,Necesita reparación,Reparado,9387540,
MA_943385,,Preventivo,Necesita reparación,Reparado,9290965,
MA_829472,2024-02-11,Preventivo,,Reparado,5107839,
MA_230665,2024-09-20,Preventivo,Necesita reparación,Reparado,9052581,
MA_104127,2024-09-15,Correctivo,Necesita reparación,,59069,
MA_790820,2024-09-21,Correctivo,Necesita reparación,Reparado,5659520,
MA_105448,2024-02-01,Preventivo,Necesita reparación,Reparado,5158885,
MA_165667,2023-10-20,Correctivo,Necesita reparación,Reparado,8803670,
MA_810449,2024-01-09,Preventivo,Necesita reparación,Reparado,3580362,
MA_214705,2024.02.23,Preventivo,Necesita reparación,Reparado,9192706,
MA_595328,2023-12-27,Preventivo,Necesita reparación,Reparado,20012,
MA_610868,2024-07-26,Correctivo,,Reparado,9158791,
MA_122883,2024-09-06,Preventivo,Necesita reparación,Reparado,3566374,
MA_683760,2024-06-06,Corretivo,Necesita reparación,Reparado,35236,
MA_591298,2024-05-31,Preventivo,Necesita reparación,Reparado,9285493,
MA_818782,,Preventivo,Necesita reparación,,4986149,
MA_616479,2024-07-25,Preventivo,Necesita reparación,Reparado,6842841,
MA_829739,2023-10-21,Correctivo,Necesita reparación,Reparado,5658970,
MA_174679,2023-10-27,Correctivo,,Reparado,33109,
MA_553201,2024-01-29,Correctivo,Necesita reparación,,3573011,
MA_788788,2024-01-08,Correctivo,Necesita reparación,Reparado,23862,
MA_776434,,Prevetivo,,Reparado,34005,
MA_158278,2024-09-11,Correctivo,,Reparado,33614,
MA_830071,2023-11-13,Preventivo,Necesita reparación,Reparado,20610,
MA_113112,2024-09-19,Correctivo,Necesita reparación,Reparado,21263,
MA_397791,2023-10-14,Correctivo,Necesita reparación,Reparado,6778137,
MA_399132,2024-04-29,Correctivo,Necesita reparación,Reparado,4737877,
MA_475372,2024-06-18,Corretivo,Necesita reparación,Reparado,59163,
MA_254363,05/03/2024,Correctivo,Necesita reparación,Reparado,8938174,
MA_960678,,Preventivo,,Reparado,22298,
MA_543776,2024-06-30,Preventivo,Necesita reparación,Reparado,3530891,
MA_733375,2023-11-13,Correctivo,Necesita reparación,Reparado,59282,
MA_128356,2024-01-29,Corretivo,Necesita reparación,Reparado,5238912,
MA_837433,2024-05-28,Correctivo,Necesita reparación,Reparado,3576481,
MA_139358,2024-01-30,Correctivo,Necesita reparación,Reparado,451323,
MA_40627,2023-10-18,Correctivo,Necesita reparación,Reparado,9273129,
MA_272691,2024-07-06,Preventivo,,Reparado,25872,
MA_579171,2024-03-05,Preventivo,Necesita reparación,Reparado,24909,
MA_264351,2024-07-20,Correctivo,Necesita reparación,Reparado,3580337,
MA_63757,2024-02-03,Preventivo,,Reparado,5658112,
MA_452581,2023-11-21,Correctivo,Necesita reparación,Reparado,9050878,
MA_733874,2024-07-13,Preventivo,Necesita reparación,Reparado,60046,
MA_758210,2023-12-19,Correctivo,Necesita reparación,Reparado,18741,
MA_548831,,Preventivo,,Reparado,35196,
MA_290349,2023-10-10,Correctivo,Necesita reparación,Reparado,21604,
MA_6977,2024-03-12,Correctivo,Necesita reparación,Reparado,9049858,
MA_336379,,Corretivo,,Reparado,7928008,
MA_64976,2024-05-19,Correctivo,Necesita reparación,Reparado,7143533,
MA_32407,,Correctivo,Necesita reparación,Reparado,3531402,
MA_667169,2024-05-01,Correctivo,Necesita reparación,Reparado,52262,
MA_153418,2023-12-04,Preventivo,Necesita reparación,Reparado,33888,
MA_946127,2023.11.19,Preventivo,Necesita reparación,Reparado,9397992,
MA_369315,2024-02-20,Preventivo,Necesita reparación,Reparado,7890632,
MA_513186,11/07/2023,Correctivo,Necesita reparación,Reparado,9494974,
MA_874092,,Correctivo,Necesita reparación,Reparado,7903113,
MA_925797,2024-10-03,Correctivo,Necesita reparación,Reparado,7889417,
MA_610164,2024-08-13,Correctivo,Necesita reparación,Reparado,22121,
MA_976563,,Correctivo,Necesita reparación,Reparado,3530658,
MA_519501,2024-02-14,Correctivo,Necesita reparación,Reparado,3576470,
MA_279641,2024-06-18,Preventivo,Necesita reparación,,9291619,
MA_871788,10/22/2023,Correctivo,Necesita reparación,Reparado,3581341,
MA_362452,2024-06-22,Correctivo,,Reparado,35222,
MA_750990,2024-03-19,Preventivo,Necesita reparación,Reparado,20740,
MA_331881,2024-05-02,Correctivo,Necesita reparación,Reparado,9495854,
MA_589782,2023-11-24,Correctivo,Necesita reparación,Reparado,58701,
MA_978378,2023-12-07,Correctivo,Necesita reparación,Reparado,32581,
MA_430962,2024-08-06,Preventivo,Necesita reparación,Reparado,5019778,
MA_91880,2024-09-14,Preventivo,Necesita reparación,Reparado,5249157,
MA_130794,2024-01-30,Preventivo,,Reparado,5239355,
MA_163885,2024-06-14,Correctivo,Necesita reparación,Reparado,5599567,
MA_520552,2024-04-14,Correctivo,Necesita reparación,Reparado,33942,
MA_641469,2024-09-26,Preventivo,Necesita reparación,Reparado,22246,
MA_946608,13-12-2023,Preventivo,Necesita reparación,,8803433,
MA_230607,2024-06-13,Preventivo,,Reparado,21704,
MA_76849,2024-09-28,Correctivo,Necesita reparación,Reparado,7903285,
MA_686419,2024-07-17,Corretivo,Necesita reparación,Reparado,60078,
MA_761708,2023-10-11,Correctivo,Necesita reparación,Reparado,59481,
MA_645508,2023-12-21,Preventivo,Necesita reparación,Reparado,33574,
MA_840705,2024-04-14,Correctivo,Necesita reparación,Reparado,8804553,
MA_122489,2024-04-01,Preventivo,Necesita reparación,Reparado,59150,
MA_383504,,Preventivo,Necesita reparación,Reparado,59146,
MA_455455,2024-03-18,Correctivo,Necesita reparación,Reparado,21965,
MA_228075,2024-03-14,Preventivo,Necesita reparación,Reparado,21284,
MA_812591,2024-02-13,Correctivo,Necesita reparación,Reparado,59494,
MA_143881,,Correctivo,Necesita reparación,Reparado,4737877,
MA_826358,2024-06-06,Preventivo,,Reparado,9403064,
MA_404587,2024-09-04,Preventivo,Necesita reparación,Reparado,7887287,
MA_618647,2024-02-02,Correctivo,Necesita reparación,Reparado,3576555,
MA_73013,,Correctivo,Necesita reparación,Reparado,9387540,
