ID,TipoIncidencia,FechaReporte,Estado,JuegoID,UsuarioID,MantenimientoID
INC_743285,Fallo técnico,2024-02-03,En progreso,5211277,U10027,
INC_80566,Limpieza requerida,03/11/2024,Cerrada,9391449,U10327,
INC_288757,Fallo técnico,2023-11-17,En progreso,9391938,U10249,"['MA_319305', 'MA_588509', 'MA_286204', 'MA_106527', 'MA_971795', 'MA_724477']"
INC_940788,Limpieza requerida,2024-01-19,En progreso,19518,U10387,
INC_338850,Fallo técnico,,Cerrada,22126,U10324,
INC_546330,Daño mayor,2023-10-22,En progreso,7896549,U10146,
INC_980656,Daño menor,2024-05-02,Abierta,59803,U10303,
INC_530956,,2023-11-28,En progreso,5209099,U10120,
INC_992008,Fallo técnico,2023-10-19,Abierta,21470,U10494,
INC_759588,Fallo técnico,2024-07-22,Abierta,24908,U10049,
INC_146337,Limpieza requerida,2024-08-11,Cerrada,9493016,U10253,
INC_356982,Daño mayor,,En progreso,8888417,U10106,
INC_982371,Daño menor,2024-07-24,Cerrada,22589,U10401,
INC_759536,Fallo técnico,18-09-2024,Abierta,3581477,U10494,
INC_45919,Limpieza requerida,2024-05-09,Abierta,9291614,U10112,
INC_129319,Daño menor,04/29/2024,Cerrada,5224731,U10269,"['MA_86915', 'MA_239933', 'MA_370737', 'MA_398677', 'MA_978171', 'MA_910533', 'MA_59288', 'MA_392055', 'MA_706872', 'MA_492501', 'MA_972029', 'MA_760026', 'MA_965062', 'MA_306307', 'MA_599775']"
INC_707087,Limpieza requerida,2024-08-01,Cerrada,59661,U10255,
INC_886536,Limpieza requerida,2024-06-04,Cerrada,32757,U10038,
INC_165347,,2024-08-10,Abierta,7840428,U10299,
INC_852251,Daño mayor,2024-08-26,Abierta,22425,U10424,
INC_510368,Limpieza requerida,2024-01-21,Abierta,59997,U10222,
INC_405436,Daño mayor,03/10/2024,Abierta,3567941,U10271,['MA_195257']
INC_479807,Daño mayor,2024-07-06,Cerrada,34852,U10305,
INC_181109,Dañoo menor,2024-02-13,En progreso,7861627,U10248,
INC_434035,Daño mayor,2024-08-09,Abierta,7853101,U10184,
INC_386730,Fallo técnico,2024-06-27,Cerrada,20758,U10032,
INC_756957,Fallo técnico,2024-09-28,Cerrada,32571,U10284,
INC_588356,Daño menor,2023-11-21,Cerrada,24844,U10339,
INC_432088,Limpieza requerida,2024-04-10,,8938190,U10458,
INC_995210,Fallo técnico,27-09-2024,Cerrada,3576499,U10291,
INC_174702,Daño menor,12/22/2023,Abierta,3581613,U10249,
INC_821388,Dañoo menor,,En progreso,7928016,U10150,
INC_835165,Daño menor,2024-08-02,Abierta,7248214,U10349,
INC_262269,Daño menor,2024-03-21,Abierta,33080,U10234,
INC_259173,Limpieza requerida,,Cerrada,7896191,U10034,
INC_617066,Daño mayor,2024.09.08,Cerrada,52906,U10139,
INC_543257,Fallo técnico,06/15/2024,,59767,U10103,
INC_211275,Daño mayor,2024-09-04,Abierta,53172,U10150,
INC_80318,Daño mayor,2024-09-07,Abierta,7533958,U10125,
INC_318249,,2023-10-13,En progreso,59397,U10182,
INC_274327,Daño menor,2024-01-01,En progreso,58057,U10491,
INC_881880,Limpieza requerida,,Abierta,9392487,U10013,
INC_32449,Fallo técnico,2024-06-28,En progreso,4950031,U10217,
INC_211230,Daño mayor,2024-04-10,Cerrada,7168584,U10402,['MA_975674']
INC_693196,Limpieza requerida,2024-01-02,Cerrada,5601878,U10068,['MA_736532']
INC_490060,Limpieza requerida,,En progreso,3576442,U10440,
INC_391647,Daño mayor,,,4750015,U10098,
INC_956699,Daño menor,2024-01-18,En progreso,4987865,U10398,
INC_652082,Daño mayor,2024-09-29,,3576430,U10324,
INC_991623,Dañoo menor,2023-12-06,Abierta,9394699,U10294,
INC_584132,Daño menor,2024-02-27,,35039,U10096,
INC_9646,Limpieza requerida,,,3569326,U10080,
INC_578816,Fallo técnico,,Cerrada,5241131,U10442,"['MA_834546', 'MA_662829', 'MA_536341']"
INC_941294,,2024-08-10,En progreso,6782389,U10293,
INC_409120,Daño menor,2023-12-21,Abierta,24758,U10155,
INC_509652,Daño menor,2023-12-18,Abierta,4986214,U10061,
INC_547333,Daño mayor,,En progreso,6962082,U10209,
INC_590701,Fallo técnico,2024-01-12,Cerrada,52879,U10297,"['MA_156039', 'MA_592022', 'MA_467754', 'MA_924807']"
INC_589159,Limpieza requerida,2024-04-12,,59092,U10099,
INC_600579,Daño menor,2024-09-05,Abierta,7895402,U10071,
INC_462032,Daño menor,2024-02-12,Cerrada,7602194,U10020,"['MA_95804', 'MA_926886', 'MA_543948', 'MA_36500', 'MA_464376', 'MA_403864', 'MA_934315', 'MA_87526', 'MA_542181', 'MA_924705', 'MA_540506']"
INC_247155,Dañoo mayor,29-08-2024,Abierta,33621,U10206,
INC_396765,Daño menor,2024-01-13,Abierta,8907173,U10420,
INC_998729,Daño mayor,2023-11-12,En progreso,35228,U10145,"['MA_753130', 'MA_15364', 'MA_176966', 'MA_136570']"
INC_870474,Limpieza requerida,2023-10-14,En progreso,9155769,U10214,
INC_200258,,2024-02-20,Cerrada,22458,U10031,
INC_399410,,10/03/2024,,33686,U10199,
INC_895843,Daño mayor,2024-01-22,Abierta,33885,U10175,
INC_148485,Daño mayor,2023-12-30,Cerrada,33117,U10272,
INC_613904,Limpieza requerida,2024-01-07,Abierta,33139,U10161,
INC_353029,Fallo técnico,2024-04-08,Cerrada,34224,U10072,
INC_213945,Limpieza requerida,2024-06-07,Cerrada,3581568,U10049,"['MA_808466', 'MA_604977', 'MA_309560', 'MA_401178', 'MA_407335', 'MA_174984']"
INC_338565,Limpieza requerida,,En progreso,21574,U10448,"['MA_744518', 'MA_49062', 'MA_671696', 'MA_925663', 'MA_451950', 'MA_272228', 'MA_475745', 'MA_281057', 'MA_344936', 'MA_124095', 'MA_539959', 'MA_137412', 'MA_79708', 'MA_902437', 'MA_127750', 'MA_301535', 'MA_648396', 'MA_120897', 'MA_800016', 'MA_403005', 'MA_326084', 'MA_169503', 'MA_74151', 'MA_459208', 'MA_484363', 'MA_785790', 'MA_662661', 'MA_320440', 'MA_355119', 'MA_539849', 'MA_521529', 'MA_174151', 'MA_236925', 'MA_209528', 'MA_89664', 'MA_759050', 'MA_909399', 'MA_962235', 'MA_765690', 'MA_954914', 'MA_424281', 'MA_79296', 'MA_903220', 'MA_130464', 'MA_984873', 'MA_10397']"
INC_291862,Daño menor,2023-12-12,En progreso,21860,U10348,
INC_446680,Daño menor,03/12/2024,En progreso,4731218,U10219,
INC_271384,Fallo técnico,2024-09-04,Cerrada,59299,U10016,
INC_622731,Daño mayor,,Abierta,32539,U10070,
INC_233047,,2024-08-22,Cerrada,20840,U10389,
INC_990940,Daño menor,2023-11-05,,6842819,U10467,
INC_894482,Limpieza requerida,2024-06-13,Abierta,4793075,U10042,
INC_753335,Limpieza requerida,2024-07-01,Abierta,58356,U10329,
INC_620721,Limpieza requerida,2024-01-28,,25548,U10169,
INC_594749,Daño menor,01-05-2024,,9290934,U10086,
INC_8784,Fallo técnico,2024-08-21,Abierta,9273073,U10360,
INC_983207,Daño mayor,2024-02-26,En progreso,9222516,U10058,
INC_303464,,,Cerrada,21136,U10463,
INC_966514,Dañoo menor,2024-02-08,Cerrada,7239580,U10353,
INC_684100,Daño menor,06/21/2024,En progreso,58978,U10154,
INC_936332,Fallo técnico,2024-09-26,,7115977,U10456,
INC_754390,,2024-07-25,Cerrada,35147,U10234,
INC_590700,,2023.11.26,,5195682,U10301,"['MA_580017', 'MA_574888']"
INC_725107,Limpieza requerida,,Abierta,9192536,U10430,
INC_340509,Fallo técnico,2024-05-11,,34159,U10302,"['MA_67836', 'MA_917405', 'MA_773114', 'MA_705325', 'MA_116649', 'MA_918053', 'MA_458493']"
INC_829183,Fallo tecncio,2024-01-16,Abierta,5659561,U10403,
INC_389338,Fallo tecncio,2024-07-06,Abierta,21759,U10202,
INC_238423,Limpieza requerida,,Cerrada,5240962,U10407,
INC_441175,Fallo técnico,2024-01-23,Abierta,59023,U10234,
INC_174909,Limpieza requerida,2024-03-21,,52782,U10490,
INC_956957,Daño mayor,2024.01.27,En progreso,21065,U10122,
INC_994769,Daño menor,11/05/2023,Cerrada,9149780,U10172,
INC_623456,Daño mayor,05-04-2024,Cerrada,3845305,U10042,
INC_77183,Daño menor,2024-09-30,En progreso,9264106,U10129,
INC_869853,Limpieza requerida,2024-01-29,Abierta,3574066,U10300,"['MA_772594', 'MA_500814', 'MA_335617', 'MA_331164', 'MA_741168', 'MA_662012', 'MA_787913', 'MA_72239', 'MA_249803', 'MA_647869']"
INC_279422,Daño mayor,2024-01-24,Cerrada,3581538,U10145,
INC_160471,Daño menor,2024-05-03,En progreso,7248023,U10004,
INC_335277,Daño menor,2024-02-17,En progreso,5241138,U10146,
INC_349610,Fallo técnico,2024-02-02,Cerrada,24052,U10241,
INC_329647,Daño menor,2023-11-04,En progreso,9492974,U10472,
INC_219587,Daño menor,2024-05-17,Abierta,21180,U10314,['MA_453522']
INC_183266,Fallo técnico,05/24/2024,En progreso,32906,U10346,
INC_102650,Fallo técnico,2024.09.21,Abierta,3962465,U10322,
INC_134603,,2024-05-14,,21383,U10348,
INC_428335,Fallo tecncio,2023-11-09,En progreso,58308,U10457,
INC_755224,Daño mayor,2024-06-05,Abierta,7928005,U10418,
INC_199941,Daño menor,2024-01-22,,3566737,U10349,
INC_906119,Dañoo menor,08-03-2024,Cerrada,20829,U10450,
INC_205293,,2024-07-22,Cerrada,7527048,U10475,
INC_875192,Fallo técnico,2023-11-18,Abierta,19920,U10415,
INC_246228,Dañoo menor,2023-12-20,Cerrada,58153,U10021,
INC_953017,Fallo técnico,2024-09-04,Cerrada,18730,U10446,
INC_466811,Fallo técnico,2024-05-24,En progreso,9277894,U10002,
INC_701049,Fallo técnico,2023.11.26,En progreso,21494,U10068,
INC_448927,Daño mayor,2023-12-18,Abierta,5003247,U10124,
INC_259278,Fallo técnico,2024-07-08,Cerrada,7802506,U10059,
INC_704115,Daño menor,2024-03-15,,52929,U10372,
INC_467673,Daño menor,2024-04-14,,4986517,U10073,
INC_403134,Daño mayor,2024-08-05,En progreso,4749960,U10478,
INC_639791,Fallo técnico,2024-09-12,En progreso,20723,U10476,"['MA_317102', 'MA_888449', 'MA_60338', 'MA_42447']"
INC_695944,Daño menor,,Cerrada,5249158,U10324,
INC_750206,Daño menor,2023-10-11,En progreso,20722,U10177,['MA_440897']
INC_777271,Daño mayor,2024-05-10,Abierta,3963573,U10112,
INC_934447,Limpieza requerida,2024-05-07,En progreso,5240822,U10234,
INC_11459,Daño menor,2024-02-11,Abierta,7890623,U10158,
INC_820637,Limpieza requerida,2024-09-29,,5250517,U10165,
INC_755632,Daño menor,2023-12-27,Abierta,22400,U10406,
INC_25845,,18-07-2024,Abierta,20122,U10285,
INC_505520,,,Abierta,7526872,U10024,
INC_839795,Limpieza requerida,2024-03-23,,3575543,U10270,"['MA_790586', 'MA_1786', 'MA_640550', 'MA_850020', 'MA_334812']"
INC_993274,Limpieza requerida,30-12-2023,En progreso,4988407,U10287,
INC_430169,,,Cerrada,58551,U10202,
INC_354089,Fallo técnico,2024-06-08,Abierta,5219514,U10238,
INC_596067,Fallo técnico,2024-03-18,En progreso,3566873,U10025,
INC_51733,Daño menor,2024.04.30,En progreso,9176458,U10071,
INC_599012,Daño menor,2023-10-31,Abierta,9248075,U10409,"['MA_687728', 'MA_397195', 'MA_26342', 'MA_112326']"
INC_424380,Limpieza requerida,2023-10-26,Cerrada,20621,U10135,
INC_63704,Limpieza requerida,,Cerrada,24934,U10171,
INC_400294,Fallo tecncio,07-04-2024,,7934654,U10016,
INC_1912,Limpieza requerida,2024-03-10,En progreso,19298,U10197,
INC_393630,Daño menor,2023-12-19,,24884,U10393,
INC_344166,Daño menor,2024-01-25,En progreso,5241109,U10026,
INC_632724,Fallo técnico,09-06-2024,Cerrada,22129,U10317,
INC_252213,Fallo técnico,2023-11-23,Abierta,8888646,U10375,
INC_593346,Daño mayor,2024-09-05,Cerrada,33998,U10455,
INC_298241,Fallo tecncio,2024-03-09,En progreso,3576515,U10070,
INC_434836,Daño menor,2024-04-14,Cerrada,21683,U10404,
INC_51945,Limpieza requerida,2024-03-02,Cerrada,5240831,U10380,
INC_754426,Daño menor,2024-09-20,,4794408,U10118,
INC_207998,Fallo técnico,2024-01-09,En progreso,32678,U10018,
INC_484183,Dañoo mayor,2024-06-12,En progreso,7603179,U10447,
INC_671799,Fallo tecncio,04/27/2024,Abierta,34124,U10326,"['MA_248643', 'MA_391328']"
INC_376101,Daño menor,2024-04-23,Cerrada,5182574,U10437,
INC_75056,Daño mayor,2024-02-09,En progreso,8930905,U10439,
INC_451249,Daño mayor,2024-05-10,Abierta,4795655,U10052,
INC_884408,,2024-05-08,Abierta,7861621,U10135,
INC_779582,Daño menor,2023-11-20,Cerrada,3530728,U10027,
INC_34897,Limpieza requerida,2023-11-25,Abierta,58356,U10406,
INC_253757,Daño mayor,2024.01.09,Abierta,33130,U10248,
INC_458878,Daño menor,2024-06-22,Cerrada,19129,U10253,
INC_765322,Fallo técnico,2024-06-11,En progreso,58065,U10456,
INC_530595,Daño mayor,2024-05-08,En progreso,33263,U10268,
INC_392933,Limpieza requerida,2024-03-25,Abierta,5241060,U10193,
INC_777575,Limpieza requerida,2023-12-12,En progreso,3574045,U10303,
INC_385820,Daño mayor,2024-05-10,Cerrada,5220909,U10486,"['MA_486661', 'MA_67711', 'MA_610011', 'MA_185293', 'MA_209761', 'MA_448982']"
INC_980686,Daño menor,2023-10-16,Abierta,5492633,U10326,
INC_97337,Limpieza requerida,2024-08-16,Cerrada,5241076,U10449,
INC_780007,Daño mayor,2024-09-17,Abierta,19801,U10238,"['MA_170380', 'MA_705963']"
INC_70001,,2024-02-25,Cerrada,3567957,U10205,
INC_140535,Daño mayor,2024-03-19,Abierta,33085,U10242,
INC_272542,Limpieza requerida,2024-04-22,En progreso,9277910,U10250,
INC_944993,Fallo técnico,2024-04-28,Abierta,34991,U10124,
INC_786163,Limpieza requerida,,En progreso,35097,U10403,
INC_832677,Limpieza requerida,30-04-2024,,59320,U10460,
INC_410789,Limpieza requerida,2024-04-09,Abierta,9288666,U10031,
INC_923465,Fallo técnico,2023-11-17,En progreso,7847860,U10167,
INC_549311,Fallo técnico,2024-01-26,Cerrada,18744,U10053,
INC_662827,Limpieza requerida,2024-01-17,Abierta,5659375,U10379,
INC_471953,Fallo técnico,2024-07-11,Abierta,5071684,U10471,
INC_144165,Fallo técnico,2023-10-24,Abierta,4991258,U10434,
INC_729974,,,En progreso,7243281,U10268,
INC_848825,Daño mayor,2023-12-02,Cerrada,8930227,U10417,
INC_107990,Daño mayor,2024-07-30,Abierta,23796,U10478,
INC_70595,,2024-09-22,,33712,U10373,
INC_660731,Fallo técnico,2024-08-09,Cerrada,7603091,U10431,
INC_28244,Limpieza requerida,2024-04-26,,19851,U10117,
INC_604655,Fallo técnico,2024-08-03,Abierta,32717,U10033,
INC_278486,Daño mayor,2024-02-21,,20996,U10459,
INC_850792,Daño menor,2024-02-08,Cerrada,21634,U10236,
INC_408476,Daño mayor,2023-12-02,Abierta,9294883,U10125,
INC_657593,Limpieza requerida,2024-08-06,Abierta,20956,U10211,
INC_505996,Fallo tecncio,2024-07-07,En progreso,4988146,U10056,
INC_670548,Limpieza requerida,2023-12-30,En progreso,34098,U10191,['MA_450470']
INC_447746,Daño menor,2024.07.24,Abierta,8805204,U10409,
INC_879820,Limpieza requerida,2024-08-18,Abierta,9187342,U10416,
INC_185345,Daño menor,,En progreso,34765,U10365,
INC_90281,Daño mayor,2024.05.22,Cerrada,19218,U10240,
INC_482060,Daño mayor,2024-07-21,Cerrada,9288553,U10445,
INC_498359,Daño mayor,2024-04-15,Cerrada,7925291,U10460,
INC_594635,Daño menor,2024-08-13,En progreso,3531315,U10492,['MA_718794']
INC_257554,Dañoo menor,2023-11-02,Abierta,8803666,U10278,
INC_35406,Daño menor,2023-12-17,En progreso,4731190,U10430,
INC_754983,,2024-01-28,En progreso,7896554,U10229,
INC_486390,Fallo técnico,2024-07-13,En progreso,58195,U10482,
INC_430713,Limpieza requerida,2023-11-07,En progreso,9052565,U10455,"['MA_777195', 'MA_199805']"
INC_248257,Daño mayor,2024-05-18,Abierta,33395,U10195,
INC_883034,Daño menor,2023-11-09,En progreso,60193,U10247,
INC_994264,Daño mayor,2024-03-29,En progreso,7168628,U10372,
INC_972038,Daño menor,2024-06-10,Abierta,6878927,U10017,
INC_31491,Daño menor,2024-01-02,Abierta,21593,U10275,
INC_866397,Limpieza requerida,2024-07-22,En progreso,7526984,U10429,
INC_606349,,2024-01-26,En progreso,5071619,U10100,
INC_604346,,2024-05-10,Cerrada,9183722,U10372,
INC_773328,Daño mayor,08/15/2024,Cerrada,9497222,U10455,
INC_783240,Daño menor,2023-11-18,Cerrada,59555,U10409,
INC_966913,,2024-01-24,Abierta,9180973,U10441,
INC_661422,Limpieza requerida,2024-03-03,Cerrada,33475,U10131,
INC_86121,Fallo técnico,2023-10-29,Cerrada,58250,U10257,['MA_686827']
INC_155089,Daño menor,09/23/2024,Abierta,5659433,U10153,
INC_412639,Daño mayor,2024-04-10,Abierta,33129,U10209,
INC_307741,Limpieza requerida,2023-11-17,Cerrada,9495205,U10458,"['MA_112302', 'MA_802380', 'MA_807405', 'MA_482327', 'MA_165579', 'MA_526570']"
INC_718178,,2023-11-29,Abierta,5211301,U10474,"['MA_361491', 'MA_29943', 'MA_895050', 'MA_278917']"
INC_533924,Limpieza requerida,07-09-2024,Abierta,7125595,U10178,
INC_694364,,2024-05-25,Cerrada,21264,U10368,
INC_781051,Limpieza requerida,2023-11-27,Abierta,58576,U10464,"['MA_633394', 'MA_747729', 'MA_553660', 'MA_511792', 'MA_90459', 'MA_921047', 'MA_967215']"
INC_137309,Fallo técnico,06/13/2024,,59939,U10236,
INC_833049,Dañoo menor,2024-01-22,Cerrada,8804535,U10185,
INC_837591,Daño menor,2024-03-06,Abierta,7928042,U10350,"['MA_94532', 'MA_231794', 'MA_974676', 'MA_729785']"
INC_655064,Fallo técnico,2024.06.20,,7893886,U10481,
INC_339888,Daño mayor,2024-04-03,Abierta,33001,U10010,
INC_187215,Limpieza requerida,2024-06-26,En progreso,7294620,U10133,
INC_127288,Limpieza requerida,2023-12-07,Abierta,52942,U10130,['MA_836972']
INC_27181,Limpieza requerida,2024-09-25,Cerrada,20280,U10487,
INC_15757,Fallo técnico,,Cerrada,5492833,U10039,
INC_766437,Limpieza requerida,2024.03.22,Cerrada,58897,U10271,
INC_213903,Fallo técnico,12-09-2024,Cerrada,7870212,U10423,
INC_156625,Dañoo mayor,08/14/2024,En progreso,7889435,U10451,
INC_648418,Fallo técnico,2024-05-29,Abierta,5492312,U10325,
INC_28945,,2024-06-20,Cerrada,34998,U10294,
INC_192184,Limpieza requerida,,Cerrada,20150,U10031,
INC_12022,Fallo tecncio,2024-07-03,Abierta,9129833,U10301,
INC_772351,Fallo técnico,2024-02-13,Cerrada,33720,U10156,"['MA_668990', 'MA_754347', 'MA_454854', 'MA_507458', 'MA_514984', 'MA_349506', 'MA_14435']"
INC_372810,Fallo tecncio,2024-07-24,En progreso,3559806,U10425,['MA_412407']
INC_400740,Fallo técnico,2024-04-29,Abierta,59752,U10104,
INC_292435,Fallo técnico,2024-08-02,Abierta,7886656,U10445,
INC_239653,Fallo técnico,,,34924,U10021,
INC_926897,Dañoo mayor,2024-09-12,En progreso,22374,U10476,
INC_181841,Daño mayor,09-02-2024,En progreso,5195572,U10038,
INC_328813,Limpieza requerida,2024.04.15,En progreso,9446264,U10403,
INC_435588,Daño menor,2024-06-08,En progreso,32965,U10270,
INC_955894,Fallo técnico,2023-11-21,En progreso,33453,U10364,
INC_979424,Fallo técnico,2024-07-30,Cerrada,8803432,U10005,
INC_562191,Daño mayor,2024-03-18,Abierta,5134780,U10457,
INC_984188,Fallo técnico,2024-10-07,Abierta,24732,U10271,
INC_859826,,2024-01-06,,3845268,U10266,
INC_571532,Daño mayor,2023-12-10,Abierta,9289039,U10005,
INC_305514,Daño mayor,2024-08-01,,4984487,U10444,
INC_568411,Fallo técnico,02-11-2023,Abierta,3567931,U10010,
INC_918354,Fallo técnico,2024-05-09,,9226847,U10010,
INC_27506,Daño menor,2024-08-10,Cerrada,6778140,U10465,
INC_482957,Dañoo mayor,2024-08-03,Cerrada,33491,U10090,
INC_688412,Daño mayor,06-02-2024,Abierta,4940054,U10331,
INC_21925,Fallo técnico,2024-03-08,Abierta,8854835,U10293,
INC_848952,Daño mayor,2023-12-10,Cerrada,58057,U10252,
INC_774788,Daño menor,,,33880,U10203,
INC_804742,Daño menor,2024-05-25,Abierta,60127,U10052,
INC_534105,Daño mayor,2024-09-13,Abierta,7925295,U10484,
INC_789433,Limpieza requerida,2024-03-29,Abierta,35147,U10304,
INC_748572,Limpieza requerida,2024-05-31,En progreso,7805739,U10280,"['MA_275815', 'MA_666045', 'MA_706252', 'MA_531041', 'MA_474860', 'MA_494075', 'MA_952829', 'MA_569719', 'MA_681955', 'MA_227119']"
INC_115465,Daño menor,2024-06-12,Abierta,4796523,U10444,['MA_513859']
INC_84853,Daño menor,2024-09-09,Cerrada,9433306,U10126,
INC_576677,Dañoo mayor,2024-05-24,Cerrada,5158878,U10328,
INC_266803,Daño menor,2023-11-25,Abierta,9396925,U10332,
INC_280024,Fallo técnico,2024-06-10,Cerrada,25785,U10316,['MA_954640']
INC_237648,Daño menor,2024-10-07,En progreso,53212,U10277,
INC_539625,Fallo técnico,02-01-2024,Cerrada,58506,U10262,
INC_259346,,2024-05-01,En progreso,8933963,U10033,
INC_127931,Daño menor,2024-01-11,En progreso,4964038,U10031,
INC_194525,Daño menor,2024-02-18,Abierta,7125618,U10240,
INC_619770,Daño menor,25-09-2024,En progreso,25563,U10081,['MA_106668']
INC_84139,Fallo técnico,2024-04-21,Abierta,9398058,U10390,
INC_712157,Daño mayor,,En progreso,9051954,U10417,
INC_520410,Daño mayor,2024-10-07,En progreso,3846272,U10310,
INC_522026,Fallo técnico,,En progreso,25812,U10197,
INC_266750,,2024-05-27,Abierta,7802511,U10053,
INC_294486,Daño mayor,2024-08-20,Cerrada,25743,U10416,
INC_787389,Fallo técnico,,,21693,U10332,
INC_495457,Dañoo mayor,2024-05-16,Abierta,20700,U10252,['MA_954232']
INC_868032,,2023-10-18,En progreso,59904,U10322,['MA_905040']
INC_572868,Daño menor,2024-06-17,En progreso,7591672,U10424,
INC_512489,Daño menor,,Cerrada,53174,U10240,
INC_637149,Limpieza requerida,2024-02-21,Cerrada,451360,U10374,"['MA_582400', 'MA_924835', 'MA_392211', 'MA_499143', 'MA_730636', 'MA_598977', 'MA_527236', 'MA_798366']"
INC_584149,Daño mayor,2024-01-31,,6782683,U10393,
INC_930880,Fallo técnico,2024-06-21,Abierta,20005,U10319,
INC_312786,Dañoo menor,,Cerrada,22520,U10460,
INC_4877,,2024-05-14,Cerrada,59199,U10375,
